firm,product_name,launch_date,asset_class,product_structure,target_client,min_investment,fees,description,source_link,source_person
Fidelity,Fidelity Municipal Bond Opportunities ETF (FMUB),2025-04-07,Municipal fixed income,Active ETF,Tax-sensitive investors and advisors seeking alpha-oriented muni exposure,1 share (plus brokerage minimums),0.30% gross,Actively managed municipal bond ETF seeking total return and federal tax-exempt income. It gives Fidelity another actively managed tax-aware bond option in ETF form.,https://newsroom.fidelity.com/pressreleases/fidelity--launches-two-fixed-income-etfs--expanding-lineup-for-investors-and-advisors/s/8dd56d24-ce8e-4de3-85eb-b874b19e425a,Person 1
Fidelity,Fidelity Systematic Municipal Bond Index ETF (FMUN),2025-04-07,Municipal fixed income,Systematic / index ETF,Cost-conscious investors seeking core municipal exposure,1 share (plus brokerage minimums),0.05% gross,"Low-cost, systematic municipal bond ETF intended as a core tax-exempt bond allocation. It uses Fidelity’s rules-based municipal index approach rather than a discretionary active process.",https://newsroom.fidelity.com/pressreleases/fidelity--launches-two-fixed-income-etfs--expanding-lineup-for-investors-and-advisors/s/8dd56d24-ce8e-4de3-85eb-b874b19e425a,Person 1
Edward Jones,Edward Jones Advisory Solutions UMA - private real estate alternatives,2025-05-05,Private real estate,Alternative sleeve within unified managed account,Eligible Edward Jones Generations clients,Generations clients; generally $10 million+ investable assets,Advisory and underlying manager fees not publicly disclosed,Edward Jones expanded its high-net-worth alternative lineup with private real estate options delivered through the Advisory Solutions UMA. The addition supports the firm’s push to offer a fuller private-markets menu to affluent households.,https://www.edwardjones.com/us-en/why-edward-jones/news-media/press-releases/high-net-worth-offerings,Person 2
Edward Jones,Edward Jones Advisory Solutions UMA - private equity alternatives,2025-05-05,Private equity,Alternative sleeve within unified managed account,Eligible Edward Jones Generations clients,Generations clients; generally $10 million+ investable assets,Advisory and underlying manager fees not publicly disclosed,Edward Jones opened private equity alternatives to eligible Generations clients through its Advisory Solutions unified managed account platform. The launch is part of the firm’s broader move to bring private-market access into wealth portfolios for affluent clients.,https://www.edwardjones.com/us-en/why-edward-jones/news-media/press-releases/high-net-worth-offerings,Person 2
Edward Jones,Edward Jones Advisory Solutions UMA - private credit alternatives,2025-05-05,Private credit,Alternative sleeve within unified managed account,Eligible Edward Jones Generations clients,Generations clients; generally $10 million+ investable assets,Advisory and underlying manager fees not publicly disclosed,Edward Jones added private credit options to the Advisory Solutions UMA for high-net-worth Generations clients. The offering gives advisors another private-markets sleeve aimed at diversification and income enhancement within fee-based managed accounts.,https://www.edwardjones.com/us-en/why-edward-jones/news-media/press-releases/high-net-worth-offerings,Person 2
Fidelity,Fidelity Managed Futures ETF (FFUT),2025-06-05,Liquid alternatives,Active ETF,Investors seeking portfolio diversification through managed futures,1 share (plus brokerage minimums),0.83% gross / 0.80% net,Systematic liquid-alternatives ETF that takes long and short futures positions to capitalize on market trends. Fidelity markets it as a diversifier for traditional stock/bond portfolios.,https://newsroom.fidelity.com/pressreleases/fidelity-launches-managed-futures-etf/s/a1a05318-2dfa-4e1a-9273-7a275ce79188,Person 1
JPMorgan,JPMorgan Active High Yield ETF (JPHY),2025-06-25,Fixed income - high yield,Active ETF,Advisors and investors seeking active high-yield exposure in ETF form,1 share (plus brokerage minimums),Not disclosed in launch release,Active high-yield bond ETF that brings JPMorgan’s flagship high-yield capability into an ETF wrapper. The launch was anchored by a $2 billion institutional seed investment.,https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-asset-management-hits-market-with-largest-active-etf-launch-in-history-anchored-by-2-billion-institutional-client-investment/,Person 1
Morgan Stanley,Eaton Vance Mortgage Opportunities ETF (EVMO),2025-08-04,Securitized fixed income,Active ETF (fund conversion),Investors seeking diversified mortgage and structured-credit exposure,1 share (plus brokerage minimums),See current prospectus,"Active securitized fixed-income ETF created through the conversion of Mortgage Securities Trust. The fund invests across agency and non-agency MBS, CMBS and other ABS markets.",https://www.morganstanley.com/im/en-us/financial-advisor/products/etfs/securitized/eaton-vance-mortgage-opportunities-etf.html,Person 1
JPMorgan,JPMorgan Equity and Options ETF (JOYT),2025-08-19,U.S. equity / options,Active ETF,Investors looking for a total-return-oriented options strategy,1 share (plus brokerage minimums),0.35%,U.S. equity and options ETF in JPMorgan’s Equity Premium Income suite. It is positioned as a more total-return-oriented complement to income-focused options strategies like JEPI and JEPQ.,https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-asset-management-unveils-new-jpmorgan-equity-and-options-etf-joyt/,Person 1
Wells Fargo,Personalized UMA alternatives capability,2025-08-25,Multi-asset / alternatives,Unified managed account enhancement,Qualifying wealth-management clients using Personalized UMA,Qualified clients only; relatively high minimums not publicly disclosed,Advisory and underlying manager fees not publicly disclosed,Wells Fargo added alternative investments as eligible holdings inside its Personalized Unified Managed Account program. The enhancement lets advisors manage traditional and alternative allocations inside a single account structure.,https://newsroom.wf.com/news-releases/news-details/2025/Alternative-investments-now-available-in-unified-managed-accounts-at-Wells-Fargo-/default.aspx,Person 2
Merrill Lynch,Alts Expanded Access Program,2025-09-04,Alternatives / private markets,Wealth platform access program,Ultra-high-net-worth Merrill and Private Bank clients,Client eligibility threshold: $50M net worth,Program/fund-level fees vary; not publicly disclosed,New alternatives access program that opens selected institutional-grade private market funds to qualified Merrill and Bank of America Private Bank clients. It is meant to extend private-market access beyond the firm’s core alts menu.,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/09/merrill-and-bank-of-america-private-bank-launch-new-alternative-.html,Person 1
UBS,UBS MSCI USA ex Mega Cap UCITS ETF,2025-09-09,U.S. equities,Passive UCITS ETF,Wealth and institutional investors seeking U.S. equity beta with less top-end concentration,Typically 1 share / exchange trading minimum,0.12% TER,Ex-mega-cap U.S. ETF that strips out the market’s largest constituents to provide more diversified core exposure. It can be paired with the mega-cap sleeve or used on its own to reduce concentration risk.,https://www.ubs.com/global/en/assetmanagement/about/news/2025-news-articles/launches-mega-cap-and-ex-mega-cap-etfs.html,Person 2
UBS,UBS MSCI USA Mega Cap UCITS ETF,2025-09-09,U.S. equities,Passive UCITS ETF,Wealth and institutional investors seeking targeted exposure to the largest U.S. companies,Typically 1 share / exchange trading minimum,0.12% TER,U.S.-focused mega-cap ETF built for investors who want to isolate the biggest companies in the U.S. market. The launch responds to concentration driven by the largest technology and AI-linked stocks.,https://www.ubs.com/global/en/assetmanagement/about/news/2025-news-articles/launches-mega-cap-and-ex-mega-cap-etfs.html,Person 2
UBS,UBS MSCI World Mega Cap UCITS ETF,2025-09-09,Global equities,Passive UCITS ETF,Wealth and institutional investors seeking dedicated mega-cap exposure,Typically 1 share / exchange trading minimum,0.12% TER,Passive ETF that carves out the largest MSCI World constituents into a dedicated mega-cap sleeve. It is designed to help advisors manage concentration risk separately from the rest of developed-market equity exposure.,https://www.ubs.com/global/en/assetmanagement/about/news/2025-news-articles/launches-mega-cap-and-ex-mega-cap-etfs.html,Person 2
UBS,UBS MSCI World ex Mega Cap UCITS ETF,2025-09-09,Global equities,Passive UCITS ETF,Wealth and institutional investors seeking broader developed-market exposure with less mega-cap concentration,Typically 1 share / exchange trading minimum,0.12% TER,Companion ETF to the mega-cap sleeve that excludes the largest names in MSCI World. It gives allocators a way to rebuild global equity exposure with more control over concentration and diversification.,https://www.ubs.com/global/en/assetmanagement/about/news/2025-news-articles/launches-mega-cap-and-ex-mega-cap-etfs.html,Person 2
Edward Jones,Proprietary Equity Income SMA in UMA Models,2025-09-16,U.S. equity income,Separately managed account within UMA Models advisory program,"Eligible high-net-worth clients, with product additions aimed at clients with $5 million+ in investable assets",Targeted to eligible HNW clients; $5 million+ noted for newest additions,Advisory fees not publicly disclosed,Edward Jones expanded its SMA lineup through the Advisory Solutions UMA Models program with a proprietary Equity Income SMA. The launch fits the firm’s wider tax-aware and customizable product buildout for more affluent clients.,https://www.edwardjones.com/us-en/why-edward-jones/news-media/press-releases/elevated-wealth-management,Person 2
Raymond James,RJ Eagle Vertical Income ETF (RJVI),2025-10-02,Multi-asset income / core fixed income alternative,Actively managed ETF,Income-focused advisors and investors seeking diversified income with flexible multi-asset exposure,Typically 1 share / exchange trading minimum,0.55% management fee / 0.55% net expense ratio,RJVI is positioned as a modern fixed income alternative that combines investment-grade bonds with preferred equity and dividend-paying equities. Raymond James launched it as part of its first active ETF lineup aimed at income generation and capital appreciation.,https://www.rjinvestmentmanagement.com/our-thinking/rjim-launches-initial-suite-of-active-etfs ; https://www.sec.gov/Archives/edgar/data/897111/000119312525202000/d57359d485bpos.htm ; https://www.etfcentral.com/fund/widget/etf-essentials/RJVI,Person 2
Raymond James,RJ Eagle GCM Dividend Select Income ETF (RJDI),2025-10-02,U.S. dividend equities,Actively managed ETF,Income-oriented equity investors and advisors,Typically 1 share / exchange trading minimum,0.50% management fee / 0.50% net expense ratio,RJDI is a U.S. large-cap equity income ETF focused on high-quality dividend-paying companies with strong fundamentals and shareholder-friendly capital return policies. It blends top-down sector views with bottom-up stock selection.,https://www.rjinvestmentmanagement.com/our-thinking/rjim-launches-initial-suite-of-active-etfs ; https://www.sec.gov/Archives/edgar/data/897111/000119312525202000/d57359d485bpos.htm ; https://www.thinkadvisor.com/2025/10/02/raymond-james-investment-management-launches-its-first-3-etfs/,Person 2
Raymond James,RJ Eagle Municipal Income ETF (RJMI),2025-10-02,Municipal fixed income,Actively managed ETF,Tax-sensitive income investors and advisors,Typically 1 share / exchange trading minimum,0.40% management fee / 0.45% net expense ratio,"RJMI is an actively managed municipal bond ETF designed to provide tax-advantaged income and long-term capital appreciation. The strategy emphasizes credit selection, risk-aware portfolio construction, and diversification across the municipal yield curve.",https://www.rjinvestmentmanagement.com/our-thinking/rjim-launches-initial-suite-of-active-etfs ; https://www.sec.gov/Archives/edgar/data/897111/000119312525202000/d57359d485bpos.htm ; https://etfdb.com/news/2025/10/02/raymond-james-makes-debut-three-income-etfs/,Person 2
Goldman Sachs,Goldman Sachs MSCI World Private Equity Return Tracker ETF (GTPE),2025-10-23,Private equity-like equities / liquid alternatives,Index-tracking ETF,"Advisors and investors seeking liquid, lower-cost access to private-equity-like returns",Typically 1 share / exchange trading minimum,0.50% net expense ratio,GTPE uses an MSCI index built from private-company data and publicly listed equities to approximate private equity-like returns in an ETF wrapper. It is positioned as a liquid alternative for wealth clients wanting private-market style exposure without traditional lockups.,https://am.gs.com/en-us/advisors/news/press-release/2025/Goldman-Sachs-Asset-Management-Launches-MSCI-World-Private-Equity-Return-Tracker-ETF ; https://am.gs.com/en-us/advisors/funds/detail/PV109407/38149W457/goldman-sachs-msci-world-private-equity-return-tracker-etf,Person 2
Morgan Stanley,Morgan Stanley Private Markets ELTIF,2025-10-31,Private markets / multi-asset,ELTIF 2.0 semi-liquid private-markets fund,Eligible / professional wealth investors seeking private-market access,"€10,000",See fund documents,"Semi-liquid private-markets ELTIF that invests across private equity, private credit and private real assets, with select public investments for liquidity management. It is designed to broaden private-markets access in a regulated wealth wrapper.",https://www.morganstanley.com/im/en-fi/institutional-investor/funds-and-performance/morgan-stanley-cabot-sa-sicav/morgan-stanley-private-markets-eltif.html,Person 1
Morgan Stanley,Eaton Vance Income Opportunities ETF (XAGG),2025-11-10,Multisector fixed income,Active ETF (fund conversion),Investors seeking flexible non-core global fixed-income exposure,1 share (plus brokerage minimums),See current prospectus,"Active multisector bond ETF launched via conversion of the Morgan Stanley Income Opportunities Fund. It allocates flexibly across securitized credit, emerging-markets debt, high yield and loans.",https://www.morganstanley.com/press-releases/msim-launches-eaton-vance-income-opportunities-etf,Person 1
UBS,UBS MSCI India Universal UCITS ETF,2025-11-14,Indian equities,Passive physical UCITS ETF,Wealth and institutional investors seeking India exposure with ESG and low-carbon tilts,Typically 1 share / exchange trading minimum,0.35% TER,Physical India ETF tracking the MSCI India Universal Low Carbon Select 5% Issuer Capped Index. The fund tilts toward companies with stronger and improving ESG profiles while excluding names that do not meet UBS’s climate and ESG criteria.,https://www.ubs.com/global/en/assetmanagement/about/news/2025-news-articles/am-launches-two-indian-equity-ucits-etfs.html ; https://www.ubs.com/ch/en/assetmanagement/funds/etf/ie000mzfij99-ubs-msci-india-universal-ucits-etf-usd-dis-pd001.html,Person 2
UBS,UBS MSCI India SF UCITS ETF,2025-11-14,Indian equities,Passive synthetic UCITS ETF,Wealth and institutional investors seeking broad India exposure,Typically 1 share / exchange trading minimum,0.15% TER,Synthetic ETF offering broad large- and mid-cap Indian equity exposure via the MSCI India Index. UBS highlighted the swap-based structure as potentially beneficial because synthetic ETFs are not currently subject to Indian capital gains tax.,https://www.ubs.com/global/en/assetmanagement/about/news/2025-news-articles/am-launches-two-indian-equity-ucits-etfs.html ; https://www.ubs.com/de/en/assetmanagement/funds/asset-class/ie000n70f6v6-ubs-msci-india-sf-ucits-etf-usd-acc-pd001.html,Person 2
Merrill Lynch,Workplace Benefits Advised Pooled Employer Plan (PEP),2025-12-08,Retirement,Advised pooled employer plan,Small business owners and employers,Not publicly disclosed,Not publicly disclosed,New shared retirement-plan offering that lets multiple employers participate in a common plan. Merrill positions it as a way to reduce administrative burden while preserving flexible plan design.,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/12/bofa-launches-enhanced-workplace-benefits-solutions-for-business.html,Person 1
Merrill Lynch,Cash Balance Defined Benefit Plan with Merrill,2025-12-08,Retirement,Cash balance defined-benefit plan,Business owners and higher-saving employer-sponsored plan participants,Not publicly disclosed,Not publicly disclosed,New cash-balance plan offering designed to be paired with a 401(k). The structure is aimed at helping business owners and employees raise retirement contributions and reduce taxable income.,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/12/bofa-launches-enhanced-workplace-benefits-solutions-for-business.html,Person 1
JPMorgan,JPMorgan 100% U.S. Treasury Securities Money Market ETF (JMMF),2025-12-11,Cash / Treasuries,Money market ETF,Cash investors seeking Treasury-only exposure with intraday tradability,1 share (plus brokerage minimums),0.16%,Treasury-only money market ETF designed to follow SEC Rule 2a-7 liquidity requirements while offering weekly income distributions. It extends money-market exposure into an ETF wrapper.,https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-asset-management-unveils-new-jpmorgan-100-percent-us-treasury-securities-money-market-etf-jmmf/,Person 1
JPMorgan,My OnChain Net Yield Fund (MONY),2025-12-15,Cash / Treasuries,Tokenized private placement money market fund,Qualified purchasers / accredited investors using Morgan Money,Not publicly disclosed,Not publicly disclosed,"JPMorgan’s first tokenized money market fund, issued on Ethereum for qualified investors. The fund aims to pair traditional Treasury-backed cash management with blockchain-based transferability and settlement.",https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-asset-management-launches-its-first-tokenized-money-market-fund/,Person 1
Goldman Sachs,Goldman Sachs MSCI World Private Equity Return Tracker UCITS ETF (GSPE),2026-01-13,Private equity-like equities / liquid alternatives,Index-tracking UCITS ETF,European advisors and wealth clients seeking liquid private-equity-like exposure,Typically 1 share / exchange trading minimum,0.50% TER,European UCITS follow-on to GTPE that packages private-equity-like index exposure in a listed ETF vehicle. The product expands Goldman’s private-market proxy strategy to cross-border wealth channels in Europe.,https://am.gs.com/en-fi/advisors/funds/detail/PV109421/IE000GNOSM10/goldman-sachs-msci-world-private-equity-return-tracker-ucits-etf ; https://am.gs.com/en-be/advisors/news/press-release/2026/Goldman-Sachs-Asset-Management-Launches-Private-Equity-Return-Tracker-UCITS-ETF-in-Europe,Person 2
Wells Fargo,WIM internal proxy voting service,2026-01-28,Investment stewardship service,Proprietary proxy-voting service,Clients whose assets are managed with both investment discretion and proxy-voting authority,Not publicly disclosed,Not publicly disclosed,Wells Fargo Wealth & Investment Management launched an in-house proxy voting service for eligible client assets. The move shifts voting to WIM’s own custom policy and positions stewardship as part of its broader investment service offering.,https://newsroom.wf.com/news-releases/news-details/2026/Wells-Fargo-Wealth--Investment-Management-Launches-Internal-Proxy-Voting-System/default.aspx,Person 2
JPMorgan,JPMorgan International Dynamic ETF (JIDE),2026-01-28,International equity,Active ETF,U.S. investors seeking active developed-markets equity exposure outside North America,1 share (plus brokerage minimums),0.55%,"Active international equity ETF focused on developed markets outside North America. The strategy uses bottom-up stock selection across Europe, Japan and Asia ex-North America.",https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-asset-management-launches-jpmorgan-international-dynamic-etf-jide-on-nyse-arca/,Person 1
Fidelity,Fidelity CLO ETF (FCLO),2026-02-12,Structured credit / CLOs,Active ETF,Income investors seeking broader CLO tranche exposure,1 share (plus brokerage minimums),0.45% gross (fee waived first 12 months),Active CLO ETF investing primarily in collateralized loan obligations rated BBB+ to B-. It offers a higher-spread complement to Fidelity’s AAA-only CLO launch.,https://newsroom.fidelity.com/pressreleases/fidelity-investments-expands-active-etf-lineup-with-two-clo-etfs-faaa-fclo/s/56c6cef7-ac3f-49e3-b4ee-37fefba11371,Person 1
Fidelity,Fidelity AAA CLO ETF (FAAA),2026-02-12,Structured credit / CLOs,Active ETF,Fixed-income investors seeking high-quality CLO exposure,1 share (plus brokerage minimums),0.20% gross (fee waived first 12 months),Active CLO ETF investing primarily in AAA-rated collateralized loan obligations. Fidelity positioned it as a diversified ETF entry point into the CLO market at a competitive fee.,https://newsroom.fidelity.com/pressreleases/fidelity-investments-expands-active-etf-lineup-with-two-clo-etfs-faaa-fclo/s/56c6cef7-ac3f-49e3-b4ee-37fefba11371,Person 1
Morgan Stanley,Eaton Vance Preferred Securities and Income ETF (EVPF),2026-03-05,Preferred securities / income,Active ETF,Income investors seeking tax-advantaged preferred-securities exposure,1 share (plus brokerage minimums),0.39% gross / 0.20% net (temporary waiver),Active preferred-securities ETF focused on current income and after-tax yield potential. The strategy emphasizes research-driven security selection and securities that may generate qualified dividend income.,https://www.morganstanley.com/press-releases/msim-launches-eaton-vance-preferred-securities-and-income-etf,Person 1
JPMorgan,JPMorgan Equity Premium Yield ETF (ROCY),2026-03-19,U.S. equity / options,Active ETF,Investors seeking equity exposure with derivative-based income,1 share (plus brokerage minimums),0.35%,"Active U.S. large-cap equity-income ETF that combines stock exposure with call-spread overlays. It expands JPMorgan’s derivative income suite for investors who want a lower-basis, yield-oriented alternative.",https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-debuts-equity-premium-yield-etfs-rocy-rocq-nasdaq/,Person 1
JPMorgan,JPMorgan Nasdaq Equity Premium Yield ETF (ROCQ),2026-03-19,U.S. equity / options,Active ETF,Investors seeking Nasdaq exposure with derivative-based income,1 share (plus brokerage minimums),0.35%,Active Nasdaq-focused equity-income ETF that pairs growth-oriented equity exposure with call-spread overlays. It is designed for investors who want premium income without fully giving up upside participation.,https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-debuts-equity-premium-yield-etfs-rocy-rocq-nasdaq/,Person 1
